ID_Experimento,Nome_Experimento,Modo,Lookback_Dias,Lookback_Label,Tamanho_Carteira_Pct,Fracao_Decimal,Frequencia,Custo_Bps,Retorno_Total_Pct,CAGR_Pct,Volatilidade_Anualizada_Pct,Indice_Sharpe,Indice_Sortino,Indice_Calmar,Alpha_Anualizado_Pct,Beta_Ibov,Max_Drawdown_Pct,Max_Duracao_DD_Dias,Win_Rate_Pct,Turnover_Medio_Ciclo_Pct,Custo_Total_Estimado_Pct,N_Ativos_Medio,Num_Rebalanceamentos,Alertas_Risco
EXP_001,Long-Only | 63d (3M) | 10% | Trimestral | 0 bps,Long-Only,63,63d (3M),10%,0.1,Trimestral,0.0,178.86843157435356,13.304911832379695,17.85054392386739,0.2304590176232143,0.2209952267913968,0.38819672463617855,4.040104360865915,0.677906806586536,-34.27363238278009,344,55.18444666001994,35.724670673222846,0.0,19.08823529411765,34,⚠️ Custo Zero (Sem Fricção)
EXP_002,Long-Only | 63d (3M) | 10% | Trimestral | 5 bps,Long-Only,63,63d (3M),10%,0.1,Trimestral,5.0,177.24945642155393,13.224588938767123,17.85084162983028,0.22595550432656505,0.21663622160059562,0.38585314772213836,3.9597814589459968,0.6779068829841244,-34.27363238278012,344,54.785643070787636,35.724670673222846,0.6073194014447886,19.08823529411765,34,✅ Robusto
EXP_003,Long-Only | 63d (3M) | 10% | Trimestral | 15 bps,Long-Only,63,63d (3M),10%,0.1,Trimestral,15.0,174.03873057163545,13.064067808053913,17.85167424315529,0.21695302858742868,0.20792731490584412,0.38116963099066314,3.7992603116180947,0.677907035779301,-34.27363238278005,344,54.48654037886341,35.724670673222846,1.8219582043343658,19.08823529411765,34,✅ Robusto
EXP_004,Long-Only | 63d (3M) | 10% | Trimestral | 25 bps,Long-Only,63,63d (3M),10%,0.1,Trimestral,25.0,170.86397642117376,12.903712793437405,17.85282308638669,0.2079570138474743,0.199230937589808,0.37649096101995133,3.6389052803868935,0.6779071885744775,-34.2736323827801,344,54.287138584247266,35.724670673222846,3.0365970072239428,19.08823529411765,34,✅ Robusto
EXP_005,Long-Only | 63d (3M) | 10% | Mensal | 0 bps,Long-Only,63,63d (3M),10%,0.1,Mensal,0.0,147.41104733406814,11.437439397649607,17.88468358588516,0.12827819730964957,0.12182845754967606,0.3091890934429416,2.2624979456006207,0.6840764461815378,-36.9917297867439,316,56.47921760391198,19.737125804781964,0.0,19.04901960784314,102,⚠️ Custo Zero (Sem Fricção)
EXP_006,Long-Only | 63d (3M) | 10% | Mensal | 5 bps,Long-Only,63,63d (3M),10%,0.1,Mensal,5.0,144.99877403718978,11.306990619846191,17.8835620957768,0.12099190197451684,0.1148757409956696,0.30555787677669716,2.132050651514682,0.6840444451914455,-37.0044154617208,318,56.234718826405874,19.737125804781964,1.0065934160438792,19.04901960784314,102,✅ Robusto
EXP_007,Long-Only | 63d (3M) | 10% | Mensal | 15 bps,Long-Only,63,63d (3M),10%,0.1,Mensal,15.0,140.24374512127315,11.046506102755838,17.881548623005845,0.10643830213387427,0.10104902390303724,0.2983140918828222,1.871569101859284,0.6839804432112608,-37.02978304858259,326,55.501222493887525,19.737125804781964,3.0197802481316374,19.04901960784314,102,✅ Robusto
EXP_008,Long-Only | 63d (3M) | 10% | Mensal | 25 bps,Long-Only,63,63d (3M),10%,0.1,Mensal,25.0,135.57994090707206,10.786571437508163,17.87984124467639,0.09191060408316992,0.08720751306183029,0.2910951031932214,1.6116374040465624,0.6839164412310763,-37.055145617988344,327,54.76772616136919,19.737125804781964,5.032967080219395,19.04901960784314,102,✅ Robusto
EXP_009,Long-Only | 63d (3M) | 20% | Trimestral | 0 bps,Long-Only,63,63d (3M),20%,0.2,Trimestral,0.0,178.86843157435356,13.304911832379695,17.85054392386739,0.2304590176232143,0.2209952267913968,0.38819672463617855,4.040104360865915,0.677906806586536,-34.27363238278009,344,55.18444666001994,35.724670673222846,0.0,19.08823529411765,34,⚠️ Custo Zero (Sem Fricção)
EXP_010,Long-Only | 63d (3M) | 20% | Trimestral | 5 bps,Long-Only,63,63d (3M),20%,0.2,Trimestral,5.0,177.24945642155393,13.224588938767123,17.85084162983028,0.22595550432656505,0.21663622160059562,0.38585314772213836,3.9597814589459968,0.6779068829841244,-34.27363238278012,344,54.785643070787636,35.724670673222846,0.6073194014447886,19.08823529411765,34,✅ Robusto
EXP_011,Long-Only | 63d (3M) | 20% | Trimestral | 15 bps,Long-Only,63,63d (3M),20%,0.2,Trimestral,15.0,174.03873057163545,13.064067808053913,17.85167424315529,0.21695302858742868,0.20792731490584412,0.38116963099066314,3.7992603116180947,0.677907035779301,-34.27363238278005,344,54.48654037886341,35.724670673222846,1.8219582043343658,19.08823529411765,34,✅ Robusto
EXP_012,Long-Only | 63d (3M) | 20% | Trimestral | 25 bps,Long-Only,63,63d (3M),20%,0.2,Trimestral,25.0,170.86397642117376,12.903712793437405,17.85282308638669,0.2079570138474743,0.199230937589808,0.37649096101995133,3.6389052803868935,0.6779071885744775,-34.2736323827801,344,54.287138584247266,35.724670673222846,3.0365970072239428,19.08823529411765,34,✅ Robusto
EXP_013,Long-Only | 63d (3M) | 20% | Mensal | 0 bps,Long-Only,63,63d (3M),20%,0.2,Mensal,0.0,147.41104733406814,11.437439397649607,17.88468358588516,0.12827819730964957,0.12182845754967606,0.3091890934429416,2.2624979456006207,0.6840764461815378,-36.9917297867439,316,56.47921760391198,19.737125804781964,0.0,19.04901960784314,102,⚠️ Custo Zero (Sem Fricção)
EXP_014,Long-Only | 63d (3M) | 20% | Mensal | 5 bps,Long-Only,63,63d (3M),20%,0.2,Mensal,5.0,144.99877403718978,11.306990619846191,17.8835620957768,0.12099190197451684,0.1148757409956696,0.30555787677669716,2.132050651514682,0.6840444451914455,-37.0044154617208,318,56.234718826405874,19.737125804781964,1.0065934160438792,19.04901960784314,102,✅ Robusto
EXP_015,Long-Only | 63d (3M) | 20% | Mensal | 15 bps,Long-Only,63,63d (3M),20%,0.2,Mensal,15.0,140.24374512127315,11.046506102755838,17.881548623005845,0.10643830213387427,0.10104902390303724,0.2983140918828222,1.871569101859284,0.6839804432112608,-37.02978304858259,326,55.501222493887525,19.737125804781964,3.0197802481316374,19.04901960784314,102,✅ Robusto
